Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"Water ___ at 100 degrees Celsius.",boil,boils,is boiling,boiled,B,"This is a general truth or scientific fact, which always uses the simple present tense. For a third-person singular subject ('water'), the verb needs an '-s'."
"I usually ___ coffee in the morning.",drink,drinks,am drinking,drank,A,"This describes a daily habit or routine. The simple present tense is used for regular actions. 'I' is a first-person subject, so the base form of the verb is used."
"The train to London ___ at 7:00 AM tomorrow.",leave,leaves,is leaving,will leave,B,"This is a scheduled future event (a timetable). The simple present tense is used for fixed schedules, even though the event is in the future."
"She ___ in a small apartment in the city.",live,lives,is living,lived,B,"This describes a permanent or long-term situation. The simple present tense is appropriate here. 'She' is third-person singular, so the verb takes an '-s'."
"He ___ very happy right now.",seem,seems,is seeming,seemed,B,"'Seem' is a state verb (describing a state, not an action). State verbs are typically used in the simple present, not the continuous form. 'He' is third-person singular."
"They ___ to the cinema yesterday.",go,goes,went,have gone,C,"The word 'yesterday' indicates a specific, completed time in the past. The simple past tense is required for actions that finished in the past."
"When I was a child, we always ___ to the beach in the summer.",visit,visits,visited,were visiting,C,"This describes a repeated action or habit in the past ('always'). The simple past tense is used for past habits."
"He opened the door, ___ on the light, and saw the mess.",switch,switches,switched,was switching,C,"This is a sequence of actions that happened one after another in the past. All verbs in the sequence should be in the simple past tense."
"She ___ tired after the long journey last night.",was,is,were,be,A,"This describes a state or feeling at a specific time in the past ('last night'). The simple past of 'to be' is used."
"I ___ you with your project, I promise.",help,am helping,will help,am going to help,C,"'I promise' indicates a promise or a spontaneous offer made at the moment of speaking. 'Will' is used for this purpose."
"Look at those dark clouds! It ___ soon.",rains,is raining,will rain,is going to rain,D,"This is a prediction based on present evidence (the dark clouds). 'Be going to' is used for predictions with clear evidence."
"We've already decided. We ___ a new car next month.",buy,will buy,are buying,are going to buy,D,"This describes a prior plan or intention (a decision was already made). 'Be going to' is used for future plans."
"I think our team ___ the match.",wins,is winning,will win,is going to win,C,"'I think' introduces a personal opinion or prediction about the future. 'Will' is commonly used for predictions without strong evidence."
"The phone is ringing. I ___ it!",get,am getting,will get,am going to get,C,"This is a spontaneous decision made at the moment of speaking. 'Will' is used for on-the-spot decisions."
"My brother ___ from university next year.",graduates,is graduating,will graduate,is going to graduate,C,"This is a simple statement about a future event. 'Will graduate' is a common and correct way to express this future fact."
"What time ___ the movie start tonight?",does,do,will,is,A,"Even though it's a future event, we use the simple present ('does...start') to ask about scheduled events like movie times or timetables."
"He ___ his keys this morning and couldn't get into his house.",loses,lost,has lost,was losing,B,"'This morning' (assuming it's now afternoon/evening) is a finished time period in the past. The simple past is used for a completed action."
"I ___ not understand the question. Can you repeat it?",do,am,did,will,A,"'Understand' is a state verb. To make a negative statement in the simple present for 'I', we use 'do not' (don't)."
"She ___ English for five years before she moved to the US.",studies,studied,was studying,had studied,B,"This sentence describes a completed action over a period of time in the past. The simple past 'studied' fits the context."
"In the future, I believe people ___ on Mars.",live,are living,will live,are going to live,C,"This is a prediction or belief about the distant future. 'Will' is the most appropriate choice for such predictions."
"To follow the recipe, you first ___ the onions in oil.",fry,fries,fried,are frying,A,"The simple present is used for instructions and directions. The base form 'fry' is used for the imperative 'you'."
"Newspaper Headline: ""Tech Giant ___ New Smartphone.""",launches,launched,is launching,will launch,A,"The simple present tense is often used in headlines to create a sense of immediacy and drama, even if the event just happened."
"I ___ what you're trying to say.",believe,believes,am believing,believed,A,"'Believe' is a state verb expressing an opinion. State verbs are used in the simple present and not the continuous form."
"My family ___ to this city ten years ago.",moves,moved,has moved,will move,B,"The phrase 'ten years ago' specifies a completed time in the past, which requires the simple past tense."
